zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-08-30,86.9,64.6,Smoky haze
90045,Los Angeles,California,2026-08-31,76.2,69.2,Sunny
90045,Los Angeles,California,2026-09-01,77.6,67.2,Sunny
10001,New York,New York,2026-08-30,85.4,61.5,Overcast
10001,New York,New York,2026-08-31,84.6,68.5,Overcast
10001,New York,New York,2026-09-01,87.3,74.4,Overcast
60601,Chicago,Illinois,2026-08-30,84.2,71.4,Overcast
60601,Chicago,Illinois,2026-08-31,87.1,71.2,Overcast
60601,Chicago,Illinois,2026-09-01,90.1,73.8,Overcast
98101,Seattle,Washington,2026-08-30,68.2,52.5,Overcast
98101,Seattle,Washington,2026-08-31,75.2,52.2,Overcast
98101,Seattle,Washington,2026-09-01,72.7,55.2,Overcast
33101,Miami,Florida,2026-08-30,89.4,78.1,Sunny
33101,Miami,Florida,2026-08-31,90.2,84.7,Overcast
33101,Miami,Florida,2026-09-01,90.4,85.6,Patchy rain nearby
02108,Boston,Massachusetts,2026-08-30,85.8,57.9,Overcast
02108,Boston,Massachusetts,2026-08-31,78.1,63.9,Sunny
02108,Boston,Massachusetts,2026-09-01,65.7,61.7,Mist
19103,Philadelphia,Pennsylvania,2026-08-30,87.0,62.6,Sunny
19103,Philadelphia,Pennsylvania,2026-08-31,84.6,68.0,Overcast
19103,Philadelphia,Pennsylvania,2026-09-01,89.1,71.5,Patchy rain nearby
75201,Dallas,Texas,2026-08-30,105.8,78.4,Sunny
75201,Dallas,Texas,2026-08-31,102.3,82.4,Sunny
75201,Dallas,Texas,2026-09-01,101.5,81.3,Sunny
77002,Houston,Texas,2026-08-30,97.9,77.0,Sunny
77002,Houston,Texas,2026-08-31,98.4,79.7,Sunny
77002,Houston,Texas,2026-09-01,99.6,80.2,Sunny
85001,Phoenix,Arizona,2026-08-30,109.9,81.1,Moderate or heavy rain shower
85001,Phoenix,Arizona,2026-08-31,95.5,77.8,Sunny
85001,Phoenix,Arizona,2026-09-01,97.3,79.3,Sunny
80202,Denver,Colorado,2026-08-30,87.2,71.5,Overcast
80202,Denver,Colorado,2026-08-31,89.0,70.1,Overcast
80202,Denver,Colorado,2026-09-01,90.0,67.9,Sunny
30303,Atlanta,Georgia,2026-08-30,90.7,71.2,Sunny
30303,Atlanta,Georgia,2026-08-31,91.1,72.7,Overcast
30303,Atlanta,Georgia,2026-09-01,89.9,78.3,Overcast
20001,Washington,District of Columbia,2026-08-30,92.1,67.1,Sunny
20001,Washington,District of Columbia,2026-08-31,92.8,72.0,Sunny
20001,Washington,District of Columbia,2026-09-01,91.8,72.4,Overcast
94102,San Francisco,California,2026-08-30,69.1,55.0,Sunny
94102,San Francisco,California,2026-08-31,61.9,57.4,Patchy rain nearby
94102,San Francisco,California,2026-09-01,63.0,59.5,Patchy rain nearby
89101,Las Vegas,Nevada,2026-08-30,102.6,81.1,Overcast
89101,Las Vegas,Nevada,2026-08-31,89.8,77.2,Sunny
89101,Las Vegas,Nevada,2026-09-01,88.8,75.8,Sunny
97201,Portland,Oregon,2026-08-30,76.7,51.8,Sunny
97201,Portland,Oregon,2026-08-31,82.8,54.9,Partly Cloudy
97201,Portland,Oregon,2026-09-01,75.0,56.4,Overcast
55401,Minneapolis,Minnesota,2026-08-30,91.4,66.2,Overcast
55401,Minneapolis,Minnesota,2026-08-31,94.1,71.9,Overcast
55401,Minneapolis,Minnesota,2026-09-01,87.7,68.7,Overcast
63101,Saint Louis,Missouri,2026-08-30,100.4,66.7,Sunny
63101,Saint Louis,Missouri,2026-08-31,103.0,77.8,Sunny
63101,Saint Louis,Missouri,2026-09-01,103.9,81.3,Sunny
78701,Austin,Texas,2026-08-30,103.1,76.8,Sunny
78701,Austin,Texas,2026-08-31,99.2,75.8,Sunny
78701,Austin,Texas,2026-09-01,99.6,76.3,Sunny
37201,Nashville,Tennessee,2026-08-30,98.6,70.5,Sunny
37201,Nashville,Tennessee,2026-08-31,95.1,75.7,Sunny
37201,Nashville,Tennessee,2026-09-01,99.3,77.4,Sunny
